Rank,Player,Team,Position,Salary
182,Mathurin,IND,SG,7484043
183,Collins,SAS,C,7350000
184,Okoro,CLE,SG,7270829
185,Dosunmu,CHI,PG,7000000
186,Little,PHX,SF,7000000
187,Walker,IND,PF,6891526
188,Tate,HOU,SF,6876811
189,Sharpe,POR,SG,6835226
190,Giddey,OKC,SG,6803702
191,Martin,MIA,SF,6802950
192,Williams,OKC,PF,6792500
193,Vezenkov,SAC,SF,6658536
194,Okongwu,ATL,C,6605536
195,Carter,CHI,PG,6500000
196,Hendricks,UTA,PF,6337895
197,Daniels,NOP,PG,6264987
198,Wade,CLE,PF,6166667
199,Wallace,OKC,PG,6022082
200,Howard,ORL,SG,5793195
201,Sochan,SAS,PF,5761688
202,Wagner,ORL,SF,5695483
203,II,DAL,C,5570673
204,Toppin,IND,PF,5529623
205,Davis,WAS,SG,5474627
206,Dick,TOR,SG,5355638
207,Dieng,OKC,SF,5266551
208,Mitchell,SAC,PG,5237879
209,Hawkins,NOP,SG,5149764
210,Jackson,DEN,PG,5125000
211,Avdija,WAS,SF,5085337
212,Williams,OKC,SF,5064229
213,Smith,IND,PF,5043773
214,Plumlee,LAC,C,5000000
215,Richards,CHA,C,5000000
216,Williams,MEM,SF,4976981
217,Bufkin,ATL,PG,4950301
218,Duren,DET,C,4868736
219,George,UTA,SG,4704221
220,Agbaji,TOR,SF,4681591
221,Vassell,SAS,SG,4648375
222,McDaniels,TOR,SF,4628900
223,Prince,LAL,PF,4516000
224,Williams,CHA,C,4500253
225,Alexander-Walker,MIN,SG,4500000
226,Hood-Schifino,LAL,PG,4470702
227,Haliburton,IND,PG,4469749
228,Duarte,SAC,SF,4426132
229,Vanderbilt,LAL,PF,4374000
230,Jr.,UTA,PG,4297209
231,Griffin,ATL,SF,4276534
232,Jr.,MIA,SF,4249285
233,Nesmith,IND,SF,4132054
234,Kispert,WAS,SF,4091102
235,Eason,HOU,PF,4064312
236,Jr.,DET,SG,4000000
237,Curry,CHA,SG,4000000
238,Powell,DAL,C,4000000
239,Anthony,ORL,PG,3971993
240,Love,MIA,C,3931632
241,Westbrook,LAC,PG,3931632
242,Whitmore,HOU,SF,3898828
243,Sengun,HOU,C,3887744
244,Terry,CHI,SG,3862940
245,Clowney,BKN,PF,3786569
246,Okeke,ORL,PF,3774548
247,Stewart,DET,C,3774548
248,III,NOP,SF,3694854
249,LaRavia,MEM,PF,3690842
250,Whitehead,BKN,SG,3677438
251,Coffey,LAC,SG,3666667
252,Murray,POR,PF,3571131
253,Branham,SAS,SG,3544358
254,Mann,CHA,PG,3511803
255,Jr.,WAS,SF,3498319
256,Prosper,DAL,PF,3467646
257,Braun,DEN,SG,3442289
258,Green,DAL,SG,3409505
259,Sasser,DET,PG,3366206
260,Kessler,UTA,C,3343105
261,Drummond,CHI,C,3280000
262,Gordon,PHX,SG,3276360
263,Rose,MEM,PG,3276360
264,Bey,ATL,SF,3257576
265,Sheppard,IND,SF,3255857
266,Roddy,PHX,PF,3246472
267,Johnson,ATL,SF,3222146
268,Beverley,MIL,PG,3196448
269,Bullock,HOU,SF,3196448
270,Crowder,MIL,SF,3196448
271,Holiday,DEN,SG,3196448
272,Jordan,DEN,C,3196448
273,Len,SAC,C,3196448
274,Matthews,ATL,SG,3196448
275,McGee,SAC,C,3196448
276,Morris,DAL,PF,3196448
277,Temple,TOR,SG,3196448
278,Thompson,CLE,C,3196448
279,Zeller,NOP,C,3196448
280,Jr.,CHA,PG,3162977
281,Beauchamp,MIL,SG,3152399
282,Sensabaugh,UTA,SF,3144019
283,Achiuwa,NYK,PF,3128282
284,Fontecchio,DET,SF,3125000
285,Strawther,DEN,SF,3121183
286,Brown,LAC,PF,3098545
287,Exum,DAL,PG,3075000
288,Wesley,SAS,SG,3060182
289,Jackson,IND,PF,3039165
290,Maxey,PHI,PG,3038140
291,Champagnie,SAS,SF,3000000
292,Richardson,MIA,SG,2971310
293,Jr.,MIN,SG,2959891
294,Nnaji,DEN,PF,2950670
295,Nwora,TOR,SF,2900000
296,Marjanovic,HOU,C,2891467
297,Jr.,PHI,SF,2891467
298,Payne,PHI,PG,2891467
299,Okogie,PHX,SG,2886336
300,Jovic,MIA,SF,2875384
301,Wood,LAL,C,2872945
302,Watson,DEN,SG,2816879
303,Lowry,PHI,PG,2795839
304,Grimes,DET,SG,2782011
305,Yurtseven,UTA,C,2730000
306,Fernando,ATL,C,2717391
307,Beasley,MIL,SG,2709849
308,Jr.,DAL,SF/PF,2709849
309,Quickley,TOR,PG,2700987
310,Hyland,LAC,PG,2690810
311,Bryant,MIA,C,2686788
312,Craig,CHI,SF,2686788
313,Lee,PHX,SG,2686788
314,Thomas,BKN,SG,2613962
315,Pritchard,BOS,PG,2612430
316,Springer,BOS,PG,2598371
317,Sharpe,BKN,C,2579451
318,Aldama,MEM,C,2560843
319,Bassey,SAS,C,2550000
320,Jr.,BKN,PG,2528233
321,McDaniels,MIN,PF,2522720
322,Flynn,DET,PG,2504346
323,Bates-Diop,BKN,SF,2500629
324,Eubanks,PHX,C,2500629
325,Watanabe,MEM,SF,2500629
326,Jerome,CLE,SG,2500000
327,Bane,MEM,SG,2486231
328,Jones,CLE,C,2442525
329,Vukcevic,WAS,C,2424892
330,Antetokounmpo,MIL,SF,2346614
331,Bamba,PHI,C,2346614
332,Holiday,HOU,PG,2346614
333,Mykhailiuk,BOS,SG,2346614
334,IV,BKN,SG,2346614
335,Brissett,BOS,SF,2314473
336,Hayes,LAL,C,2314473
337,Reddish,LAL,SF,2314473
338,Jr.,MEM,SF,2286085
339,Kornet,BOS,C,2273291
340,Cancar,DEN,PF,2271775
341,Konchar,MEM,SG,2250000
342,Jones,SAC,SG,2192070
343,Theis,LAC,C,2179511
344,Bol,PHX,PF,2165000
345,Brown,POR,C,2165000
346,McLaughlin,MIN,PG,2160000
347,Nembhard,IND,PG,2145792
348,Jackson,MEM,PF,2127792
349,Banton,POR,PG,2108338
350,Green,MIL,SG,2108016
351,Stevens,MEM,SF,2092354
352,Miller,MIN,SF,2079935
353,Liddell,NOP,PF,2074683
354,Reath,POR,C,2073892
355,Mathews,ATL,SG,2057563
